Element,Atomicnumber,AtomicMass,IonizationEnergy,AtomicRadius,Density,ElecAffinity,HeatFusion,ThermConduc,Valence
H,1,1.00797,1312,53,0.09,72.769,0.558,0.1805,1
HE,2,4.0026,2372.3,31,0.18,-48,0.02,0.1513,0
LI,3,6.941,520.2,167,530,59.632,3,85,1
BE,4,9.01218,899.5,112,1850,-48,7.95,190,2
B,5,10.81,800.6,87,2340,26.989,50,27,3
C,6,12.011,1086.5,67,2260,121.776,105,140,4
N,7,14.0067,1402.3,56,1.25,-6.8,0.36,0.02583,3
O,8,15.9994,1313.9,48,1.4,140.976,0.222,0.02658,2
F,9,18.998403,1681,42,1.6,328.164,0.26,0.0277,1
NE,10,20.179,2080.7,38,0.9,-116,0.34,0.0491,0
NA,11,22.98977,495.8,190,970,52.867,2.6,140,1
MG,12,24.305,737.7,145,1740,-40,8.7,160,2
AL,13,26.98154,577.5,118,2700,41.762,10.7,235,3
SI,14,28.0855,786.5,111,2330,134.068,50.2,150,4
P,15,30.97376,1011.8,98,1820,72.037,0.64,0.236,5
S,16,32.06,999.6,88,1960,200.41,1.73,0.205,6
CL,17,35.453,1251.2,79,3.2,348.57,3.2,0.0089,5
AR,18,39.948,418.8,243,1.8,48.383,2.33,100,0
K,19,39.0983,1520.6,71,856,-96,1.18,0.01772,1
CA,20,40.08,589.8,194,1550,2.37,8.54,200,2
SC,21,44.9559,633.1,184,2990,18,16,16,3
TI,22,47.9,658.8,176,4540,7.289,18.7,22,4
V,23,50.9415,650.9,171,6110,50.911,22.8,31,5
CR,24,51.996,652.9,166,7190,65.21,20.5,94,6
MN,25,54.938,717.3,161,7430,-50,13.2,7.7,4
FE,26,55.847,762.5,156,7870,14.785,13.8,79,3
NI,28,58.7,760.4,152,8900,63.898,16.2,100,4
CO,27,58.9332,737.1,149,8900,111.65,17.2,91,2
CU,29,63.546,745.5,145,8960,119.235,13.1,400,2
ZN,30,65.38,906.4,142,7130,-58,7.35,120,2
GA,31,69.72,578.8,136,5910,41,5.59,29,3
GE,32,72.59,762,125,5320,118.93,31.8,60,4
AS,33,74.9216,947,114,5720,77.65,27.7,50,5
SE,34,78.96,941,103,4790,194.958,5.4,0.52,6
BR,35,79.904,1139.9,94,3120,324.537,5.8,0.12,5
KR,36,83.8,1350.8,88,3.7,-96,1.64,0.00943,2
RB,37,85.4678,403,265,1630,46.88,2.19,58,1
SR,38,87.62,549.5,219,2540,5.023,8,35,2
Y,39,88.9059,600,212,4470,29.6,11.4,17,3
ZR,40,91.22,640.1,206,6510,41.806,21,23,4
NB,41,92.9064,652.1,198,8570,88.516,26.8,54,5
MO,42,95.94,684.3,190,10220,72.1,36,139,6
TC,43,-98,702,183,11500,53,23,51,6
RU,44,101.07,710.2,178,12370,100.96,25.7,120,6
RH,45,102.9055,719.7,173,12410,110.27,21.7,150,6
PD,46,106.4,804.4,169,12020,54.24,16.7,71,4
AG,47,107.868,731,165,10500,125.862,11.3,430,1
CD,48,112.41,867.8,161,8650,-68,6.3,96,2
IN,49,114.82,558.3,156,7310,37.043,3.26,82,3
SN,50,118.69,708.6,145,7310,107.298,7,67,4
SB,51,121.75,834,133,6680,101.059,19.7,24,5
TE,52,127.6,1008.4,115,6240,295.1531,7.76,0.449,6
I,53,126.9045,869.3,123,4940,190.161,17.5,3,7
XE,54,131.3,1170.4,108,5.9,295.154,2.3,0.00565,6
CS,55,132.9054,375.7,298,1870,-77,2.09,36,1
BA,56,137.33,502.9,253,3590,45.505,8,18,2
LA,57,138.9055,538.1,195,6150,13.954,6.3,13,3
CE,58,140.12,534.4,158,6770,53,5.5,11,4
PR,59,140.9077,527,247,6770,55,6.9,13,4
ND,60,144.24,533.1,206,7010,93,7.1,17,3
PM,61,-145,540,205,7300,184.87,7.7,15,3
SM,62,150.4,544.5,238,7520,12.45,8.5,13,3
EU,63,151.96,547.1,231,5240,15.63,9.3,14,3
GD,64,157.25,593.4,233,7900,11.2,10,11,3
TB,65,158.9254,565.8,225,8230,13.22,10.8,11,3
DY,66,162.5,573,228,8550,112.4,11.1,11,3
HO,67,164.9304,581,226,8800,33.96,17,16,3
ER,68,167.26,589.3,226,9070,32.61,19.9,15,3
TM,69,168.9342,596.7,222,9320,30.1,16.8,17,3
YB,70,173.04,603.4,222,6900,99,7.7,39,3
LU,71,174.967,523.5,217,9840,-1.93,22,16,3
HF,72,178.49,658.5,208,13310,33.4,25.5,23,4
TA,73,180.9479,761,200,16650,17.18,36,57,5
W,74,183.85,770,193,19350,31,35,170,6
RE,75,186.207,760,188,21040,78.76,33,48,7
OS,76,190.2,840,185,22600,5.8273,31,87,6
IR,77,192.22,880,180,22400,103.99,26,150,6
PT,78,195.09,870,177,21450,150.94,20,71,6
AU,79,196.9665,890.1,174,19320,205.041,12.5,320,5
HG,80,200.59,1007.1,171,13550,222.747,2.29,8.3,2
TL,81,204.37,589.4,156,11850,-48,4.2,46,3
PB,82,207.2,715.6,154,11350,36.4,4.77,35,4
BI,83,208.9804,703,143,9750,34.4204,10.9,8,5
PO,84,-209,812.1,135,9300,90.924,13,20,6
AT,85,-210,899.003,127,8900,136,6,2,7
RN,86,-222,1037,120,9.7,233,3,0.00361,6
